step,base_height
0,0.98270917
1,0.9994079
2,1.0114033
3,1.0188277
4,1.0224996
5,1.0234067
6,1.0222039
7,1.0185637
8,1.0107995
9,0.9982871
10,0.9813037
11,0.96087354
12,0.94150907
13,0.93163544
14,0.9291196
15,0.9329894
16,0.9418111
17,0.9502901
18,0.95940125
19,0.9698149
20,0.9814306
21,0.99268466
22,1.0011771
23,1.0051079
24,1.0051135
25,1.0006853
26,0.99291945
27,0.98150694
28,0.9658808
29,0.94732034
30,0.93293446
31,0.9248078
32,0.92441297
33,0.9314982
34,0.9420268
35,0.9556823
36,0.9725585
37,0.9920765
38,1.0095905
39,1.021589
40,1.0286698
41,1.032657
42,1.0328574
43,1.0293177
44,1.0222064
45,1.0106161
46,0.9944526
47,0.9750431
48,0.9573884
49,0.9452952
50,0.94062144
51,0.9411704
52,0.9493745
53,0.96336704
54,0.9786676
55,0.99241817
56,1.0021968
57,1.0070325
58,1.0081372
59,1.0062125
60,1.0009254
61,0.9911456
62,0.9785752
63,0.96632683
64,0.9569338
65,0.9533067
66,0.9553094
67,0.95866156
68,0.9656357
69,0.97908163
70,0.9976566
71,1.0142332
72,1.0251311
73,1.0315111
74,1.0343026
75,1.0332121
76,1.028198
77,1.0201578
78,1.0082676
79,0.9917375
80,0.97202885
81,0.95342034
82,0.94121444
83,0.9355164
84,0.9360289
85,0.9457774
86,0.96345514
87,0.9812079
88,0.99561995
89,1.0060561
90,1.0127698
91,1.0143682
92,1.0124413
93,1.0077217
94,0.9998549
95,0.9869433
96,0.9717983
97,0.96023434
98,0.9567604
99,0.9577502
100,0.96277094
101,0.97272354
102,0.98563963
103,0.9981141
104,1.0084447
105,1.0163418
106,1.0200548
107,1.0190183
108,1.0145698
109,1.0067852
110,0.99501
111,0.9794392
112,0.9598763
113,0.9405849
114,0.9283519
115,0.923539
116,0.9257391
117,0.9352345
118,0.95174444
119,0.9696138
120,0.98634744
121,1.0020483
122,1.0134925
123,1.0207258
124,1.0239584
125,1.023584
126,1.0190536
127,1.0111357
128,0.9988661
129,0.9829525
130,0.9681696
131,0.9582939
132,0.95364815
133,0.9551255
134,0.9611168
135,0.96968365
136,0.9808484
137,0.9913587
138,0.99891233
139,1.0030781
140,1.0034515
141,0.99920624
142,0.9914867
143,0.9797779
144,0.965163
145,0.9464051
146,0.92664444
147,0.9109181
148,0.9006955
149,0.8968833
150,0.8998516
151,0.9089355
152,0.92233485
153,0.9385139
154,0.95532316
155,0.9693456
156,0.9795603
157,0.98521775
158,0.987156
159,0.9849722
160,0.9792695
161,0.9702516
162,0.9587404
163,0.9468493
164,0.9378254
165,0.9344569
166,0.93783945
167,0.9464631
168,0.9560335
169,0.966297
170,0.979201
171,0.9913168
172,1.0002283
173,1.0041367
174,1.0036278
175,0.9995965
176,0.9913242
177,0.98006266
178,0.96532613
179,0.9472746
180,0.9294094
181,0.9163208
182,0.91119945
183,0.91157514
184,0.918337
185,0.932231
186,0.9486271
187,0.9633434
188,0.9778011
189,0.98899347
190,0.99612236
191,0.9990408
192,0.9979268
193,0.99351877
194,0.98572385
195,0.9748677
196,0.96309733
197,0.9524888
198,0.9470604
199,0.94893867
200,0.952317
201,0.95900446
202,0.9686749
203,0.9795919
204,0.98976755
205,0.9973219
206,1.0001711
207,0.9995029
208,0.9957777
209,0.98739564
210,0.9764934
211,0.9617946
212,0.94781405
213,0.93870807
214,0.9326078
215,0.93286544
216,0.93829983
217,0.94628173
218,0.95547116
219,0.9668787
220,0.97974885
221,0.9907726
222,0.998884
223,1.0030456
224,1.0032616
225,0.99920297
226,0.99211025
227,0.9813588
228,0.9666248
229,0.9498505
230,0.9366288
231,0.9278274
232,0.9249729
233,0.9265652
234,0.93404436
235,0.9474971
236,0.96202993
237,0.97433555
238,0.9840607
239,0.99011356
240,0.9916984
241,0.9904503
242,0.98537046
243,0.9759073
244,0.9633612
245,0.94625586
246,0.92742765
247,0.9121877
248,0.9032394
249,0.899778
250,0.9036529
251,0.9148503
252,0.93058914
253,0.94645625
254,0.9613302
255,0.9730954
256,0.98038274
257,0.9831693
258,0.98258114
259,0.97844493
260,0.96990275
261,0.9577797
262,0.94346434
263,0.9338876
264,0.93452865
265,0.94281197
266,0.95270413
267,0.9629821
268,0.9751013
269,0.98644835
270,0.99547666
271,1.0016226
272,1.003966
273,1.003146
274,0.99855345
275,0.9911883
276,0.9795963
277,0.96432275
278,0.9446263
279,0.92657876
280,0.91552687
281,0.90928715
282,0.90575904
283,0.90608144
284,0.9117251
285,0.922252
286,0.93746686
287,0.9576223
288,0.978529
289,0.9963856
290,1.0097712
291,1.0188348
292,1.024269
293,1.0250443
294,1.0223119
295,1.0161558
296,1.0052458
297,0.99027216
298,0.97421247
299,0.9597458
300,0.9512697
301,0.9504167
302,0.95410746
303,0.95907223
304,0.9622667
305,0.9631964
306,0.9616392
307,0.9587889
308,0.9538051
309,0.94425374
310,0.9304543
311,0.91352874
312,0.8961432
313,0.88420486
314,0.877633
315,0.8751107
316,0.87742084
317,0.8870262
318,0.9017713
319,0.91865295
320,0.93705016
321,0.95577717
322,0.9720235
323,0.98435926
324,0.99103516
325,0.9937963
326,0.9944678
327,0.9904669
328,0.98264813
329,0.9706187
330,0.95711154
331,0.9455978
332,0.93902814
333,0.9407159
334,0.9479457
335,0.955403
336,0.9615543
337,0.96523535
338,0.965491
339,0.96099305
340,0.9528752
341,0.9427274
342,0.9291681
343,0.91311145
344,0.8995884
345,0.8889921
346,0.8844039
347,0.8868019
348,0.894283
349,0.9030078
350,0.91320294
351,0.92453754
352,0.936641
353,0.94640124
354,0.953388
355,0.9575592
356,0.9587698
357,0.9559116
358,0.9488594
359,0.9382416
360,0.9257003
361,0.91608
362,0.9122179
363,0.91470367
364,0.9238069
365,0.9351608
366,0.94637775
367,0.9553493
368,0.9603863
369,0.9627642
370,0.9653596
371,0.9673964
372,0.9668309
373,0.9624487
374,0.9552109
375,0.94449776
376,0.92974085
377,0.91229975
378,0.89938956
379,0.895755
380,0.8994199
381,0.90733117
382,0.91727066
383,0.9273732
384,0.9374911
385,0.9484398
386,0.9595677
387,0.969638
388,0.9775367
389,0.9824318
390,0.9850625
391,0.98531926
392,0.9815335
393,0.9740737
394,0.96241343
395,0.9492621
396,0.9408415
397,0.9382465
398,0.94012696
399,0.94608593
400,0.95272964
401,0.96106285
402,0.9717616
403,0.98246056
404,0.9926761
405,1.0005102
406,1.004099
407,1.0034324
408,0.99888694
409,0.99058133
410,0.9793373
411,0.9646622
412,0.946302
413,0.9292243
414,0.91642606
415,0.90876657
416,0.9086907
417,0.9162735
418,0.9302721
419,0.94653916
420,0.9629749
421,0.9770587
422,0.9875671
423,0.99304694
424,0.99498284
425,0.9936174
426,0.9880494
427,0.97981507
428,0.967065
429,0.9510613
430,0.93893176
431,0.9330382
432,0.93337774
433,0.94084805
434,0.950692
435,0.9578962
436,0.96237075
437,0.96578294
438,0.96687007
439,0.96225107
440,0.9533176
441,0.9421878
442,0.9261405
443,0.9074419
444,0.88577676
445,0.8687328
446,0.85951394
447,0.85753345
448,0.86105794
449,0.8693544
450,0.8835648
451,0.9041594
452,0.9292209
453,0.95295835
454,0.9754339
455,0.9945489
456,1.0094562
457,1.0203664
458,1.0271631
459,1.0298964
460,1.0301526
461,1.0259402
462,1.0177454
463,1.0052217
464,0.98881054
465,0.9688208
466,0.95192313
467,0.9420076
468,0.9398194
469,0.94442654
470,0.95267534
471,0.9622798
472,0.97060436
473,0.97608244
474,0.97771573
475,0.9756472
476,0.97054213
477,0.96071
478,0.9472584
479,0.9301261
480,0.91527635
481,0.90865517
482,0.9076637
483,0.91083604
484,0.9163159
485,0.92529285
486,0.9383174
487,0.95555663
488,0.97143185
489,0.9823885
490,0.99003124
491,0.99404174
492,0.99351084
493,0.98974156
494,0.98168117
495,0.9701811
496,0.95551795
497,0.941979
498,0.9327057
499,0.9306565
500,0.93607295
501,0.9443792
502,0.95055103
503,0.9553381
504,0.9576518
505,0.9566136
506,0.9540014
507,0.94763917
508,0.93809974
509,0.9241189
510,0.9092212
511,0.9002789
512,0.89847046
513,0.9030294
514,0.9124998
515,0.9258103
516,0.9387637
517,0.94962406
518,0.9598429
519,0.9700489
520,0.97953856
521,0.98807085
522,0.9938455
523,0.99616337
524,0.99475
525,0.99029225
526,0.98171
527,0.9688252
528,0.952984
529,0.9387889
530,0.9314417
531,0.92865294
532,0.93255484
533,0.9459309
534,0.96093744
535,0.9755496
536,0.98953134
537,1.0013354
538,1.0091923
539,1.0134053
540,1.0133238
541,1.0085336
542,0.99870145
543,0.9858014
544,0.97033685
545,0.9504561
546,0.93291473
547,0.9229298
548,0.92179775
549,0.9271383
550,0.938332
551,0.95332456
552,0.97002
553,0.9868189
554,1.0024544
555,1.0135117
556,1.019744
557,1.0221685
558,1.021158
559,1.0162203
560,1.0081645
561,0.9959643
562,0.97927433
563,0.96317077
564,0.9531474
565,0.9479827
566,0.9501994
567,0.9596674
568,0.9729957
569,0.9862355
570,1.000737
571,1.0126678
572,1.0196426
573,1.0223632
574,1.020822
575,1.0164726
576,1.008178
577,0.9957466
578,0.9799006
579,0.9600986
580,0.9416285
581,0.9304912
582,0.925915
583,0.92585593
584,0.93187904
585,0.94385076
586,0.9620368
587,0.9831761
588,1.0032347
589,1.0178891
590,1.0286373
591,1.034668
592,1.0367646
593,1.0357957
594,1.0298651
595,1.0212659
596,1.008107
597,0.9911666
598,0.97157335
599,0.9534619
600,0.9405313
601,0.93503165
602,0.9368191
603,0.9453058
604,0.95421195
605,0.9606239
606,0.9632811
607,0.96306896
608,0.95910263
609,0.9514421
610,0.94021136
611,0.92879933
612,0.92273504
613,0.92225724
614,0.9273423
615,0.93562424
616,0.9462398
617,0.95595634
618,0.9636893
619,0.97011966
620,0.9735537
621,0.9751915
622,0.97462845
623,0.9702043
624,0.96194047
625,0.9500987
626,0.93473065
627,0.91582185
628,0.898245
629,0.8884208
630,0.8834753
631,0.88562816
632,0.8950564
633,0.90915745
634,0.9236378
635,0.9345124
636,0.94465965
637,0.95172775
638,0.9554355
639,0.9552425
640,0.95139766
641,0.9444486
642,0.93347085
643,0.9187082
644,0.90470165
645,0.8975029
646,0.895643
647,0.8991449
648,0.909299
649,0.9231314
650,0.937687
651,0.952314
652,0.9630739
653,0.97032493
654,0.97412276
655,0.97516006
656,0.973712
657,0.96821344
658,0.9595854
659,0.9470477
660,0.9303462
661,0.916827
662,0.91274136
663,0.9136756
664,0.920251
665,0.93103784
666,0.946015
667,0.95921206
668,0.9692147
669,0.9751185
670,0.9777435
671,0.9770506
672,0.97248405
673,0.964989
674,0.95369184
675,0.9387204
676,0.92030525
677,0.903663
678,0.89663976
679,0.8957073
680,0.89946884
681,0.90946645
682,0.9210617
683,0.93321973
684,0.9474504
685,0.9638889
686,0.97888845
687,0.99149394
688,1.0007042
689,1.005306
690,1.0067232
691,1.0043321
692,0.99806786
693,0.987281
694,0.9734074
695,0.9577068
696,0.94525063
697,0.937581
698,0.9336484
699,0.93141127
700,0.9324999
701,0.93722224
702,0.9467167
703,0.96092886
704,0.9784458
705,0.99371535
706,1.0040798
707,1.0109792
708,1.0142097
709,1.0137849
710,1.0087018
711,1.0004033
712,0.9881066
713,0.9709338
714,0.95426613
715,0.94226485
716,0.9358595
717,0.9367282
718,0.9421912
719,0.9508154
720,0.9611353
721,0.9709806
722,0.976982
723,0.97887945
724,0.97796506
725,0.9741055
726,0.964858
727,0.95201653
728,0.93746823
729,0.927507
730,0.9225479
731,0.92423064
732,0.929638
733,0.9366265
734,0.94553053
735,0.9532683
736,0.9610349
737,0.9690359
738,0.9762394
739,0.98089355
740,0.9831702
741,0.9814703
742,0.9753761
743,0.96601987
744,0.9531043
745,0.94185066
746,0.9362231
747,0.93520296
748,0.9386913
749,0.94458264
750,0.950526
751,0.9546739
752,0.95765525
753,0.96150404
754,0.96762943
755,0.9764703
756,0.9818405
757,0.98414075
758,0.98248816
759,0.97715867
760,0.9687023
761,0.95629066
762,0.9417509
763,0.9312058
764,0.92570865
765,0.9219798
766,0.92292905
767,0.927096
768,0.93505067
769,0.9470885
770,0.9596093
771,0.96937186
772,0.97739923
773,0.98284334
774,0.9842745
775,0.9821267
776,0.9771035
777,0.96793926
778,0.95458657
779,0.9463419
780,0.9453628
781,0.9471027
782,0.9517166
783,0.958908
784,0.964877
785,0.9697985
786,0.97597617
787,0.982321
788,0.9884064
789,0.9914211
790,0.9902193
791,0.98510027
792,0.9753199
793,0.9625606
794,0.9458237
795,0.926373
796,0.90912426
797,0.9011974
798,0.90070564
799,0.9061431
800,0.9174745
801,0.9322474
802,0.94835645
803,0.9634741
804,0.9757666
805,0.98595285
806,0.991989
807,0.99390554
808,0.9920956
809,0.98767865
810,0.9789139
811,0.96559083
812,0.9480408
813,0.9306219
814,0.91884404
815,0.91511
816,0.9192352
817,0.9297483
818,0.94490445
819,0.96177304
820,0.9765285
821,0.9890204
822,0.996788
823,0.9999214
824,0.9986786
825,0.9943711
826,0.98828304
827,0.9771757
828,0.9620772
829,0.94589037
830,0.93372864
831,0.9270192
832,0.9256506
833,0.930761
834,0.94087476
835,0.9524259
836,0.96421975
837,0.97568166
838,0.9853326
839,0.99017406
840,0.9908399
841,0.9877059
842,0.98114127
843,0.97071654
844,0.95704997
845,0.9417417
846,0.93115765
847,0.9274349
848,0.93062615
849,0.9396244
850,0.9521672
851,0.9645714
852,0.97569036
853,0.98458123
854,0.99200314
855,0.9973087
856,0.99728084
857,0.9932977
858,0.9863728
859,0.97570074
860,0.9617698
861,0.9465613
862,0.939045
863,0.93833923
864,0.9438203
865,0.95317197
866,0.9615724
867,0.96696895
868,0.969167
869,0.9719563
870,0.9770216
871,0.9824974
872,0.9842739
873,0.9818082
874,0.97463423
875,0.9634276
876,0.9487675
877,0.93077743
878,0.9099294
879,0.8944096
880,0.8862623
881,0.88444674
882,0.8894973
883,0.9005292
884,0.9154544
885,0.93211025
886,0.9474832
887,0.9610489
888,0.97150075
889,0.979405
890,0.9839561
891,0.98412985
892,0.9810249
893,0.9731266
894,0.9616708
895,0.9484191
896,0.93847966
897,0.9338612
898,0.9350198
899,0.9420072
900,0.9513545
901,0.96155316
902,0.9733369
903,0.98609596
904,1.0009693
905,1.0142282
906,1.0238382
907,1.0283712
908,1.0292362
909,1.0275382
910,1.0218041
911,1.0121682
912,0.99822766
913,0.9803335
914,0.9596709
915,0.9437201
916,0.93595374
917,0.935908
918,0.94275254
919,0.95537823
920,0.9721249
921,0.98818946
922,1.0014313
923,1.0117339
924,1.0177565
925,1.0193316
926,1.0166633
927,1.0109792
928,1.0012188
929,0.98795736
930,0.97099745
931,0.9576476
932,0.9512701
933,0.952672
934,0.9599708
935,0.9716479
936,0.9860629
937,0.9996256
938,1.0107778
939,1.0179273
940,1.0217254
941,1.0213197
942,1.0170743
943,1.0089341
944,0.9965417
945,0.9802933
946,0.96216005
947,0.9457312
948,0.9356598
949,0.9314918
950,0.93400407
951,0.9417182
952,0.9531115
953,0.96730393
954,0.9817713
955,0.9927485
956,0.999659
957,1.0027939
958,1.0026674
959,0.99796784
960,0.9889087
961,0.97668636
962,0.96000826
963,0.9439672
964,0.9340522
965,0.93027914
966,0.9349887
967,0.9440542
968,0.95481783
969,0.96569043
970,0.9757567
971,0.984008
972,0.9889023
973,0.9908121
974,0.9882994
975,0.9814071
976,0.97171205
977,0.9591064
978,0.9429687
979,0.9303765
980,0.9252143
981,0.9255184
982,0.92808586
983,0.9353427
984,0.9476027
985,0.9597083
986,0.97370803
987,0.9917821
988,1.0084525
989,1.0221725
990,1.0311366
991,1.0362213
992,1.0375856
993,1.0351411
994,1.0288435
995,1.0189036
996,1.0047152
997,0.9873939
998,0.96688396
999,0.94816977
